,0
0,0
1,3
2,1
3,1
4,5
5,5
6,3
7,0
8,1
9,9
10,5
11,2
12,6
13,8
14,1
15,6
16,9
17,5
18,1
19,3
20,8
21,5
22,1
23,7
24,2
25,5
26,3
27,5
28,5
29,6
30,1
31,2
32,0
33,7
34,5
35,2
36,3
37,3
38,3
39,5
40,1
41,5
42,5
43,2
44,5
45,5
46,9
47,3
48,5
49,2
50,8
51,7
52,7
53,5
54,5
55,5
56,5
57,3
58,3
59,3
60,8
61,5
62,2
63,5
64,2
65,8
66,5
67,6
68,5
69,6
70,3
71,2
72,7
73,6
74,2
75,2
76,2
77,5
78,9
79,5
80,5
81,8
82,2
83,3
84,7
85,8
86,2
87,5
88,0
89,5
90,6
91,0
92,5
93,5
94,2
95,5
96,3
97,9
98,2
99,1
100,3
101,3
102,9
103,3
104,5
105,7
106,8
107,5
108,3
109,2
110,5
111,9
112,9
113,8
114,8
115,5
116,3
117,3
118,5
119,9
120,5
121,5
122,5
123,1
124,2
125,3
126,8
127,5
128,8
129,5
130,9
131,2
132,3
133,5
134,3
135,2
136,2
137,1
138,5
139,5
140,5
141,3
142,3
143,2
144,3
145,5
146,2
147,9
148,5
149,5
150,2
151,8
152,2
153,8
154,2
155,2
156,3
157,5
158,3
159,3
160,5
161,1
162,2
163,2
164,5
165,5
166,9
167,5
168,1
169,5
170,7
171,6
172,2
173,5
174,2
175,0
176,5
177,3
178,2
179,5
180,2
181,3
182,7
183,5
184,2
185,2
186,8
187,2
188,5
189,5
190,6
191,7
192,5
193,8
194,6
195,7
196,9
197,5
198,9
199,7
200,3
201,2
202,9
203,9
204,5
205,3
206,5
207,8
208,5
209,2
210,3
211,6
212,1
213,8
214,2
215,3
216,2
217,9
218,3
219,1
220,5
221,3
222,6
223,5
224,3
225,3
226,2
227,3
228,3
229,6
230,9
231,3
232,5
233,8
234,5
235,3
236,9
237,5
238,9
239,3
240,3
241,6
242,5
243,2
244,2
245,9
246,8
247,3
248,6
249,3
250,5
251,5
252,5
253,9
254,5
255,2
256,5
257,5
258,7
259,5
260,5
261,8
262,3
263,2
264,5
265,2
266,8
267,5
268,8
269,8
270,5
271,5
272,5
273,5
274,2
275,3
276,5
277,3
278,7
279,2
280,9
281,7
282,1
283,5
284,2
285,1
286,3
287,7
288,3
289,3
290,5
291,3
292,8
293,1
294,2
295,3
296,7
297,5
298,3
299,3
300,2
301,6
302,5
303,6
304,8
305,8
306,5
307,3
308,2
309,2
310,1
311,3
312,7
313,1
314,8
315,7
316,1
317,8
318,9
319,7
320,6
321,8
322,5
323,6
324,2
325,5
326,8
327,8
328,3
