,0
1,0
1,3
2,1
3,0
4,5
5,5
6,3
7,1
8,1
9,9
10,5
11,2
12,6
13,8
14,6
15,6
16,9
17,5
18,1
19,3
20,8
21,3
22,9
23,7
24,1
25,5
26,3
27,2
28,5
29,6
30,1
31,2
32,6
33,7
34,2
35,3
36,3
37,8
38,3
39,5
40,1
41,5
42,5
43,2
44,5
45,5
46,9
47,8
48,5
49,2
50,8
51,7
52,2
53,5
54,9
55,5
56,8
57,3
58,3
59,3
60,8
61,5
62,5
63,7
64,8
65,3
66,5
67,9
68,5
69,6
70,3
71,2
72,7
73,1
74,3
75,2
76,1
77,5
78,5
79,3
80,5
81,3
82,2
83,3
84,7
85,8
86,5
87,2
88,0
89,5
90,6
91,1
92,5
93,5
94,3
95,5
96,3
97,9
98,5
99,1
100,3
101,8
102,9
103,8
104,5
105,9
106,3
107,2
108,3
109,2
110,5
111,1
112,9
113,8
114,3
115,3
116,3
117,3
118,5
119,9
120,2
121,5
122,2
123,1
124,2
125,3
126,8
127,5
128,8
129,2
130,9
131,5
132,3
133,5
134,3
135,2
136,3
137,1
138,5
139,7
140,3
141,3
142,3
143,2
144,3
145,5
146,2
147,3
148,5
149,5
150,2
151,8
152,2
153,8
154,2
155,2
156,3
157,5
158,8
159,3
160,5
161,0
162,2
163,2
164,5
165,5
166,9
167,5
168,1
169,5
170,7
171,6
172,2
173,5
174,2
175,0
176,5
177,3
178,2
179,8
180,2
181,3
182,5
183,2
184,2
185,9
186,8
187,5
188,8
189,5
190,6
191,7
192,5
193,3
194,1
195,7
196,9
197,2
198,9
199,7
200,3
201,2
202,9
203,9
204,1
205,3
206,5
207,8
208,3
209,3
210,3
211,6
212,1
213,7
214,2
215,8
216,2
217,9
218,8
219,1
220,5
221,3
222,1
223,5
224,3
225,3
226,5
227,8
228,3
229,1
230,9
231,3
232,5
233,8
234,5
235,3
236,9
237,5
238,5
239,3
240,3
241,1
242,5
243,2
244,5
245,9
246,3
247,3
248,1
249,3
250,8
251,5
252,5
253,9
254,5
255,2
256,5
257,5
258,7
259,5
260,5
261,8
262,3
263,2
264,5
265,5
266,8
267,5
268,8
269,8
270,3
271,6
272,5
273,5
274,5
275,3
276,5
277,3
278,7
279,2
280,9
281,8
282,1
283,5
284,2
285,0
286,3
287,3
288,0
289,3
290,2
291,3
292,5
293,1
294,2
295,8
296,5
297,5
298,3
299,3
300,2
301,6
302,5
303,6
304,8
305,8
306,5
307,3
308,5
309,2
310,0
311,3
312,7
313,0
314,3
315,7
316,0
317,8
318,9
319,7
320,0
321,8
322,2
323,2
324,7
325,5
326,3
327,8
328,3
329,3
330,5
331,2
332,1
333,5
334,2
335,5
336,8
337,9
338,8
339,1
340,3
341,3
342,2
343,7
344,2
345,6
346,2
347,5
348,0
349,5
350,5
351,3
352,3
353,5
354,3
355,5
356,9
357,8
358,3
359,0
360,7
361,9
362,2
363,5
364,3
365,5
366,2
367,3
368,2
369,2
370,1
371,3
372,7
373,8
374,2
375,3
376,5
377,2
378,5
379,2
380,2
381,5
382,2
383,5
384,8
385,3
386,1
387,5
388,2
389,3
390,5
391,3
392,2
393,5
394,2
395,8
396,2
397,2
398,5
399,3
400,1
401,3
402,9
403,3
404,2
405,5
406,0
407,0
408,2
409,2
410,4
411,6
412,3
413,5
414,2
415,5
416,8
417,1
418,3
419,3
420,6
421,8
422,3
423,8
424,5
425,5
426,8
427,7
428,2
429,2
430,5
431,4
432,2
433,8
434,5
435,7
436,7
437,3
438,3
439,2
440,3
441,5
442,3
443,0
444,2
445,0
446,2
447,5
448,5
449,2
450,8
451,5
452,2
453,5
454,2
455,8
456,6
457,7
458,2
459,2
460,3
461,1
462,5
463,9
464,0
465,5
466,5
467,3
468,8
469,6
470,5
471,3
472,0
473,1
474,5
475,9
476,1
477,3
478,2
479,9
480,8
481,2
482,0
483,5
484,8
485,5
486,8
487,9
488,8
489,3
490,3
491,5
492,5
493,7
494,8
495,5
496,1
497,5
498,1
499,5
500,3
501,2
502,2
503,2
504,5
505,3
506,5
507,9
508,3
509,2
510,3
511,5
512,5
513,5
514,5
515,5
516,5
517,5
518,3
519,7
520,3
521,2
522,3
523,2
524,5
525,8
526,5
527,3
528,7
529,7
530,3
531,2
532,7
533,5
534,8
535,2
536,6
537,5
538,6
539,2
540,0
541,0
542,3
543,5
544,5
545,3
546,8
547,2
548,7
549,5
550,3
551,3
552,2
553,8
554,2
555,5
556,8
557,3
558,5
559,7
560,0
561,5
562,0
563,2
564,2
565,7
566,7
567,5
568,2
569,5
570,5
571,5
572,0
573,2
574,8
575,2
576,3
577,7
578,2
579,2
580,5
581,3
582,5
583,5
584,9
585,3
586,5
587,1
588,5
589,8
590,9
591,2
592,3
593,5
594,5
595,5
596,9
597,2
598,3
599,3
600,4
601,0
602,3
603,3
604,2
605,5
606,8
607,2
608,1
609,9
610,5
611,5
612,5
613,3
614,2
615,8
616,3
617,7
618,8
619,5
620,2
621,8
622,0
623,6
624,9
625,7
626,5
627,1
628,3
629,9
630,5
631,3
632,3
633,1
634,3
635,1
636,2
637,3
638,6
639,9
640,6
641,8
642,5
643,6
644,3
645,5
646,1
647,5
648,5
649,0
650,9
651,8
652,8
653,3
654,3
655,3
656,1
657,3
658,7
659,7
660,3
661,9
662,3
663,8
664,5
665,8
666,2
667,8
668,5
669,5
670,5
671,0
672,0
673,8
674,2
675,5
676,5
677,8
678,0
679,3
680,1
681,5
682,1
683,8
684,7
685,5
686,5
687,1
688,8
689,7
690,6
691,5
692,3
693,5
694,2
695,1
696,5
697,3
698,3
699,7
700,5
701,8
702,5
703,6
704,6
705,7
706,3
707,3
708,3
709,7
710,5
711,9
712,3
713,3
714,3
715,9
716,2
717,5
718,5
719,2
720,8
721,3
722,2
723,5
724,9
725,3
726,5
727,2
728,7
729,2
730,7
731,1
732,5
733,5
734,3
735,5
736,2
737,5
738,1
739,2
740,2
741,5
742,5
743,3
744,5
745,8
746,3
747,7
748,8
749,9
750,6
751,8
752,3
753,8
754,2
755,2
756,5
757,5
758,2
759,5
760,2
761,0
762,5
763,5
764,9
765,5
766,2
767,8
768,8
769,3
770,0
771,3
772,2
773,5
774,2
775,5
776,2
777,5
778,5
779,5
780,8
781,7
782,7
783,2
784,5
785,2
786,8
787,9
788,3
789,5
790,0
791,3
792,7
793,5
794,3
795,2
796,2
797,8
798,3
799,5
800,5
801,3
802,0
803,2
804,3
805,9
806,5
807,9
808,9
809,1
810,8
811,2
812,7
813,8
814,7
815,0
816,8
817,2
818,5
819,3
820,5
821,0
822,1
823,6
824,5
825,5
826,8
827,3
828,3
829,1
830,1
831,5
832,5
833,2
834,5
835,0
836,9
837,5
838,3
839,8
840,0
841,3
842,2
843,7
844,2
845,5
846,8
847,8
848,7
849,2
850,2
851,1
852,3
853,7
854,3
855,5
856,3
857,5
858,2
859,8
860,5
861,1
862,0
863,3
864,0
865,5
866,5
867,0
868,5
869,5
870,3
871,4
872,8
873,8
874,3
875,2
876,3
877,7
878,9
879,5
880,6
881,7
882,9
883,2
884,1
885,8
886,7
887,5
888,9
889,5
890,5
891,7
892,2
893,9
894,5
895,3
896,3
897,8
898,6
899,2
900,7
901,6
902,7
903,5
904,0
905,0
906,1
907,3
908,5
909,6
910,5
911,8
912,8
913,2
914,3
915,2
916,5
917,2
918,3
919,3
920,3
921,5
922,2
923,3
924,3
925,2
926,4
927,5
928,1
929,3
930,2
931,7
932,1
933,5
934,6
935,5
936,5
937,8
938,5
939,7
940,2
941,5
942,0
943,3
944,5
945,6
946,3
947,1
948,7
949,7
950,6
951,2
952,9
953,5
954,2
955,9
956,5
957,3
958,3
959,1
960,5
961,5
962,6
963,0
964,9
965,2
966,5
967,2
968,0
969,7
970,5
971,2
972,5
973,5
974,5
975,1
976,2
977,7
978,7
979,9
980,8
981,1
982,3
983,5
984,3
985,5
986,1
987,1
988,7
989,5
990,1
991,5
992,2
993,5
994,6
995,6
996,5
997,5
998,5
999,5
1000,3
1001,3
1002,3
1003,2
1004,8
1005,3
1006,7
1007,3
1008,8
1009,5
1010,0
1011,9
1012,0
1013,2
1014,0
1015,1
1016,3
1017,5
1018,2
1019,9
1020,5
1021,7
1022,8
1023,2
1024,5
1025,3
1026,5
1027,0
1028,3
1029,2
1030,1
1031,8
1032,3
1033,7
1034,1
1035,7
1036,5
1037,1
1038,1
1039,5
1040,3
1041,7
1042,8
1043,2
