author_id,labels
0,0 1
1,3 5
2,2 3 5 8
3,1
4,1 8
5,1 3
6,0 1
7,0 1
12,2 5
13,2 5
14,2 5
16,2 5
17,2 5
18,5
19,5
20,2 5
21,2 5
25,0 1 3 6
26,0 1 6
27,0 1
29,1
30,1
32,1
33,1
34,1
35,1
37,9
38,0 9
39,5
40,5
41,5
42,2 5
43,5
44,2
45,2
46,2
50,5 8
51,5 8
52,3 5 8
53,5 8
55,1 6
56,1 6
57,0 1 6
58,0 1 2 3 5 6 7
59,6
60,6
61,9
62,9
63,5 9
64,2 3 8 9
66,5
67,5
69,0 1 3
70,1 3
71,0 1 6
72,1 3
73,3
74,3 5
75,8
76,8
77,3 8
78,3 8
81,9
82,9
88,5 7
90,5 7
93,5
94,5
95,5
96,5
97,5
98,2 5
100,3 8
103,2 3 5 8 9
105,5
106,2 5 6 7 8 9
107,2 5
109,5
110,2 5
111,6
112,1 2 6
113,1 6
114,0 1 5 6
115,1 6
117,1
118,2
119,2 5
120,0 6
121,6
122,5 7
123,5 7
124,2 5 7
125,2 5 6 7
127,2 5
128,5
131,3
133,8
134,8
135,8
136,8
137,3
138,3 8
139,3 5 7
140,3 5 7
142,1
144,1
146,1 2 5 6 8
148,1 2 3 8
150,5 9
151,5
152,5
153,5
157,2 5
158,2 5
159,2 5
160,2 5
161,2 5
162,2 5
163,2 5
164,9
165,9
166,3
167,3 8
168,5
169,5
171,2 5
172,2 3 5
173,2 3 5
174,8
175,8
176,3 5 8
177,7 8
178,7
179,2 7
180,5 7
181,2
182,2
183,2 3
184,2 3 7
192,2 5
193,2 5 6
194,5 8
195,5 8
196,5 8
197,2 5 8
198,2 3 5 8
199,3
200,3
201,3
202,3
203,3
204,1 3
205,3
206,3
207,3
208,3
209,3
210,3 8
212,3 5 8
213,1 3 5 8
218,2 5
219,2 5 6
220,2 5
221,2 5
222,2 5
223,5
224,5
227,2 5
228,2 5
229,3 8
230,3 8
231,8
233,8
234,3 8
235,2 5
236,2 5
237,2 5
238,2 5
239,2 5
241,0 1 5 6
243,2 5 9
244,0 2 5 6 7 9
245,5
250,6
252,6 9
254,2 4
255,2 4
256,7
258,5 7 9
259,1 6
260,1 6
261,1 6
262,1 6
263,0 1 6 9
264,1 6
267,2 3 5 6 7
272,1
273,1
274,2 5
275,2 5
276,2 6 9
277,2 5 9
278,9
279,5 6 9
280,6 9
282,5
285,5 8
287,3 8
288,2
289,2 5
290,2 5 6 8 9
295,1 2 7
296,1 7
297,0 1 2 6 7
299,8
300,8
301,5
302,5
303,5
304,2 5
305,2 3 5 8
306,2 5 8
307,2 5 7 8
308,2 3 5 8
309,2 3 5 8
312,0 1
313,0 1 6 9
316,5
317,5
320,2 5
324,1 5 6
325,0 1 6
326,0 6
327,0 6
328,0 1 6
330,5 8
331,5 8 9
332,5 8
334,2 3 7 8
335,2 5
336,1 2 5
337,5
338,5
344,2 9
346,2 5
355,3 5
356,3
357,3 8
358,3 8
359,3 5 8
360,2 9
361,2 3 9
362,3 8
363,3 8
366,7 9
367,7 9
368,7 9
369,7 9
370,7 9
371,7 9
374,3 7 8
377,8
378,8
379,2 3 5 8
380,8
382,3 8
383,3 5 8
384,3 5 8
386,5 7
387,2 3 5 6 7
390,3
392,2
396,9
398,2 3 5 8 9
399,9
400,3 5 8
402,8
404,3 5 8
405,8
406,8
407,8
408,3 5 8
409,3 8
410,3 8
415,3 8
416,3 8
417,2 3 5 7 8
421,3
422,5
423,3 5
424,5
425,5 8
428,6 9
429,6 9
430,2 5
431,2 5
432,2 5
433,2 5 7
434,2 5
435,5
436,2 5
437,5 7
438,2 3 5 6
443,0 1
448,0 1 3 6
449,0 1
454,0 1
455,2
456,2 5
457,2 5
458,3
460,5
461,5
462,5
463,5
464,8
465,8
466,8
468,8
469,8
471,2
472,2 7
475,2 5 7
477,9
479,9
480,9
481,9
482,9
483,2
484,2 5 8
485,2
486,2 7
487,2 7 9
488,2 5
489,1 2 5 6 7 9
490,8
491,8
493,3 8
494,5
495,5
496,5
497,5
498,5
499,3
500,0 3
501,2
502,2
503,2
504,2 3 5
505,2 8
506,2 3 5 8
508,1
509,1
513,7
514,7
515,7
516,7
517,7
518,7
519,7
520,3 5
521,3
522,3
523,3
524,3 5
525,3 5
526,3
527,2 3 5 7 8
528,3 8
529,3
530,3 8
531,2 3
532,2
533,2 3 8
534,2
535,2
536,2 5 7 8
537,2 5 7
538,3
539,3 5
540,3 5 8
542,2 3
546,2
547,2
548,2
549,5
550,5
551,5
552,5
553,5
554,5
555,2 5
559,3 8
560,5 8
563,0 1 2 6 9
564,3 8
565,3 8
566,3 8
567,3 8
568,3 5 8
569,2
570,2
571,2
572,2
573,2
575,2 3 9
576,3
577,2 5
578,5
579,2 5
580,2 5
582,3 8
583,3 8
584,3 8
585,3 8
587,3
589,2 5
590,2 5
591,2 5
592,0
593,2 3
594,2 3
596,2 5 6
600,5
601,5
603,5
604,5
605,5
606,2 5
607,2 5 7
610,5
611,5
612,5
613,0 1
614,0 1
615,0 1 6
616,0 1 7
617,5
618,2 5
619,5
620,2 5
621,5
622,7
623,7
628,0 5 7
629,5 6 7
630,1 6
631,6
632,2
634,2
637,2
638,2
639,2
640,0
641,0
642,0 1
643,0
644,0 1
646,5
647,5
652,2 5 7
653,2 5
660,2
664,2
666,5 7
667,5 7 8
668,3 5 7
669,2 5 7
670,2 5 7
671,2 5 7
672,2
673,2
675,2
680,5
681,5
682,2 5 9
683,2 5 9
684,5
685,5 8
687,5
688,5 8
689,5 8
690,5
691,5 8
692,0 5
693,2 5 7
694,2 5 6 7
695,0 5 6 7
697,1 6 7
698,5 6 7
699,1 2 3 5 6 7
700,7 9
704,2 5 9
705,5 6 9
706,2 5 9
707,0 1 2 5 6 9
708,1 2 5 6 9
709,3 8
710,3 8
711,3 5 8
712,1 6
715,1 6
717,1 5 6
718,0 1 6 7
719,1 5 6
725,3 7 8
729,2
730,2
731,2
732,9
733,9
734,2 9
735,2 9
736,2 9
738,2 5 7 9
739,5 7
