author_id,paper_id,year,label
0,0,2018,0
1,1,2017,5
2,1,2017,5
3,2,2016,1
4,2,2016,1
5,2,2016,1
6,3,2016,0
7,3,2016,0
8,3,2016,0
9,3,2016,0
10,3,2016,0
11,4,2017,2
12,4,2017,2
13,4,2017,2
14,4,2017,2
15,4,2017,2
16,4,2017,2
17,4,2017,2
18,5,2019,5
19,5,2019,5
20,5,2019,5
21,5,2019,5
22,6,2018,3
23,6,2018,3
24,6,2018,3
25,7,2017,0
26,7,2017,0
27,7,2017,0
28,8,2019,1
29,8,2019,1
30,8,2019,1
31,8,2019,1
32,8,2019,1
33,8,2019,1
34,8,2019,1
35,8,2019,1
36,8,2019,1
37,9,2019,9
38,9,2019,9
39,10,2018,5
40,10,2018,5
41,10,2018,5
42,10,2018,5
43,10,2018,5
44,11,2017,2
45,11,2017,2
46,11,2017,2
47,12,2019,6
48,12,2019,6
49,12,2019,6
50,13,2018,5
51,13,2018,5
52,13,2018,5
53,13,2018,5
54,14,2017,1
55,14,2017,1
56,14,2017,1
57,14,2017,1
58,14,2017,1
59,15,2016,6
60,15,2016,6
61,16,2018,9
62,16,2018,9
63,16,2018,9
64,16,2018,9
65,17,2019,5
66,17,2019,5
67,17,2019,5
68,18,2019,1
69,18,2019,1
70,18,2019,1
71,18,2019,1
72,18,2019,1
25,18,2019,1
73,19,2018,3
74,19,2018,3
75,20,2018,8
76,20,2018,8
77,20,2018,8
78,20,2018,8
79,21,2016,3
80,21,2016,3
81,22,2019,9
82,22,2019,9
83,22,2019,9
84,22,2019,9
85,22,2019,9
86,22,2019,9
87,23,2019,7
88,23,2019,7
89,23,2019,7
90,23,2019,7
91,23,2019,7
92,24,2019,2
93,25,2018,5
94,25,2018,5
95,25,2018,5
96,25,2018,5
97,25,2018,5
98,25,2018,5
99,26,2018,3
100,26,2018,3
101,26,2018,3
102,27,2017,2
103,27,2017,2
104,27,2017,2
105,28,2018,5
106,28,2018,5
107,28,2018,5
108,28,2018,5
109,28,2018,5
110,28,2018,5
111,29,2019,6
112,29,2019,6
113,29,2019,6
114,29,2019,6
115,29,2019,6
116,30,2018,1
117,30,2018,1
118,31,2017,2
119,31,2017,2
120,32,2016,6
121,32,2016,6
122,33,2018,7
123,33,2018,7
124,33,2018,7
125,33,2018,7
126,34,2017,5
127,34,2017,5
128,34,2017,5
129,35,2019,3
130,35,2019,3
131,36,2017,3
132,36,2017,3
133,37,2018,8
134,37,2018,8
135,37,2018,8
136,37,2018,8
137,38,2017,3
138,38,2017,3
139,39,2019,5
140,39,2019,5
141,40,2019,1
142,40,2019,1
143,40,2019,1
144,40,2019,1
145,40,2019,1
146,40,2019,1
25,40,2019,1
147,40,2019,1
148,40,2019,1
149,41,2018,5
150,41,2018,5
151,42,2019,5
152,42,2019,5
153,42,2019,5
154,43,2017,2
155,44,2016,2
156,44,2016,2
157,44,2016,2
158,44,2016,2
159,45,2019,5
160,45,2019,5
161,45,2019,5
162,45,2019,5
163,45,2019,5
164,46,2018,9
165,46,2018,9
166,47,2017,3
167,47,2017,3
168,48,2019,5
169,48,2019,5
170,49,2017,2
171,49,2017,2
172,49,2017,2
173,49,2017,2
174,50,2019,8
175,50,2019,8
176,50,2019,8
177,50,2019,8
178,51,2019,7
179,51,2019,7
180,51,2019,7
181,52,2017,2
182,52,2017,2
183,52,2017,2
184,52,2017,2
185,53,2018,5
186,54,2019,9
187,54,2019,9
188,54,2019,9
189,55,2019,5
190,55,2019,5
191,55,2019,5
192,55,2019,5
193,55,2019,5
194,56,2018,5
195,56,2018,5
196,56,2018,5
197,56,2018,5
198,56,2018,5
199,57,2018,3
200,57,2018,3
201,57,2018,3
202,58,2018,3
203,58,2018,3
204,58,2018,3
205,59,2017,3
206,59,2017,3
207,59,2017,3
208,59,2017,3
209,59,2017,3
210,60,2017,3
211,60,2017,3
212,60,2017,3
213,60,2017,3
214,61,2016,5
215,61,2016,5
216,61,2016,5
217,61,2016,5
218,62,2019,2
219,62,2019,2
220,62,2019,2
221,62,2019,2
222,62,2019,2
223,63,2016,5
224,63,2016,5
225,63,2016,5
226,64,2018,2
227,64,2018,2
228,64,2018,2
229,65,2017,8
230,65,2017,8
231,65,2017,8
232,65,2017,8
233,65,2017,8
234,65,2017,8
235,66,2018,2
236,66,2018,2
237,66,2018,2
238,66,2018,2
103,66,2018,2
239,66,2018,2
240,67,2017,5
241,67,2017,5
242,67,2017,5
243,67,2017,5
244,67,2017,5
245,68,2017,5
246,68,2017,5
247,68,2017,5
248,68,2017,5
249,69,2019,6
250,69,2019,6
251,69,2019,6
252,69,2019,6
253,70,2017,3
254,71,2018,2
255,71,2018,2
256,72,2019,7
257,72,2019,7
258,72,2019,7
259,73,2018,1
260,73,2018,1
261,73,2018,1
262,73,2018,1
263,73,2018,1
264,73,2018,1
265,74,2017,2
266,74,2017,2
267,74,2017,2
268,75,2017,2
269,75,2017,2
270,76,2016,1
271,76,2016,1
272,76,2016,1
273,76,2016,1
274,77,2018,2
275,77,2018,2
98,77,2018,2
276,78,2016,9
277,78,2016,9
278,78,2016,9
279,78,2016,9
280,78,2016,9
281,79,2016,5
282,79,2016,5
283,80,2018,5
284,80,2018,5
285,80,2018,5
286,81,2019,8
287,81,2019,8
288,82,2016,2
289,82,2016,2
290,82,2016,2
291,83,2018,3
292,83,2018,3
293,83,2018,3
294,84,2017,7
295,84,2017,7
296,84,2017,7
297,84,2017,7
298,84,2017,7
299,85,2017,8
300,85,2017,8
301,86,2018,5
302,86,2018,5
303,86,2018,5
304,87,2018,2
305,87,2018,2
306,87,2018,2
307,87,2018,2
308,87,2018,2
309,87,2018,2
310,88,2017,0
311,88,2017,0
312,88,2017,0
313,88,2017,0
314,89,2019,5
315,89,2019,5
316,89,2019,5
317,89,2019,5
318,89,2019,5
319,89,2019,5
320,89,2019,5
321,90,2017,6
322,90,2017,6
323,90,2017,6
324,90,2017,6
325,91,2016,6
326,91,2016,6
327,91,2016,6
328,91,2016,6
329,92,2017,5
224,92,2017,5
330,93,2017,5
331,93,2017,5
332,93,2017,5
333,94,2019,2
334,94,2019,2
334,94,2019,2
335,95,2018,5
336,95,2018,5
337,95,2018,5
338,95,2018,5
339,95,2018,5
340,96,2019,3
341,97,2019,9
342,97,2019,9
343,97,2019,9
344,97,2019,9
345,98,2019,5
346,98,2019,5
347,98,2019,5
348,98,2019,5
349,98,2019,5
350,98,2019,5
351,99,2019,1
352,99,2019,1
353,99,2019,1
354,100,2019,3
355,100,2019,3
356,100,2019,3
357,100,2019,3
358,101,2017,8
75,101,2017,8
359,101,2017,8
78,101,2017,8
360,102,2019,2
361,102,2019,2
362,103,2019,3
363,103,2019,3
78,103,2019,3
364,104,2019,5
365,104,2019,5
366,105,2019,7
367,105,2019,7
368,105,2019,7
369,105,2019,7
370,105,2019,7
371,105,2019,7
372,105,2019,7
373,105,2019,7
374,105,2019,7
375,105,2019,7
376,106,2019,8
377,106,2019,8
378,106,2019,8
379,106,2019,8
380,106,2019,8
381,106,2019,8
382,106,2019,8
383,106,2019,8
384,106,2019,8
385,106,2019,8
386,107,2018,5
387,107,2018,5
388,108,2018,3
389,108,2018,3
390,108,2018,3
391,109,2017,2
392,109,2017,2
393,110,2017,5
394,110,2017,5
395,111,2016,0
396,112,2018,9
397,112,2018,9
361,112,2018,9
398,112,2018,9
399,112,2018,9
400,113,2019,8
401,113,2019,8
402,113,2019,8
403,113,2019,8
404,113,2019,8
405,114,2019,8
406,114,2019,8
407,114,2019,8
408,114,2019,8
409,114,2019,8
410,114,2019,8
411,115,2018,2
412,115,2018,2
413,115,2018,2
414,115,2018,2
415,116,2019,8
416,116,2019,8
417,116,2019,8
138,116,2019,8
418,117,2019,3
419,117,2019,3
420,117,2019,3
421,117,2019,3
422,118,2016,5
423,118,2016,5
424,118,2016,5
425,118,2016,5
426,119,2019,9
427,119,2019,9
428,119,2019,9
429,119,2019,9
430,120,2017,5
431,120,2017,5
103,120,2017,5
432,120,2017,5
433,120,2017,5
434,120,2017,5
435,121,2018,5
436,121,2018,5
437,121,2018,5
438,121,2018,5
439,122,2016,5
440,122,2016,5
441,122,2016,5
442,122,2016,5
14,122,2016,5
12,122,2016,5
17,122,2016,5
443,123,2018,1
444,123,2018,1
445,123,2018,1
446,123,2018,1
447,123,2018,1
448,123,2018,1
449,123,2018,1
450,123,2018,1
451,123,2018,1
452,123,2018,1
453,123,2018,1
454,123,2018,1
455,124,2017,2
456,124,2017,2
457,124,2017,2
458,125,2018,3
459,126,2019,8
460,127,2019,5
461,127,2019,5
462,127,2019,5
463,127,2019,5
464,128,2016,8
465,128,2016,8
466,128,2016,8
467,128,2016,8
468,128,2016,8
469,128,2016,8
470,129,2019,2
471,129,2019,2
472,129,2019,2
473,129,2019,2
474,129,2019,2
475,129,2019,2
476,129,2019,2
477,130,2016,9
478,130,2016,9
479,130,2016,9
480,130,2016,9
481,130,2016,9
482,130,2016,9
483,131,2017,2
484,131,2017,2
485,131,2017,2
486,131,2017,2
487,131,2017,2
488,131,2017,2
489,131,2017,2
490,132,2018,8
491,132,2018,8
492,132,2018,8
493,132,2018,8
494,133,2016,5
495,133,2016,5
496,133,2016,5
497,133,2016,5
498,133,2016,5
499,134,2017,3
500,134,2017,3
501,135,2016,2
502,135,2016,2
503,135,2016,2
504,135,2016,2
505,136,2019,8
506,136,2019,8
507,137,2019,1
508,137,2019,1
509,137,2019,1
510,137,2019,1
511,137,2019,1
512,138,2018,7
513,138,2018,7
514,138,2018,7
515,139,2019,7
516,139,2019,7
517,139,2019,7
518,139,2019,7
519,139,2019,7
520,140,2018,5
521,141,2018,3
522,141,2018,3
523,141,2018,3
524,141,2018,3
525,141,2018,3
526,142,2018,3
527,142,2018,3
528,142,2018,3
529,142,2018,3
530,142,2018,3
531,143,2017,2
