paper_id,reference_id
2,20605
4,3057
4,122
7,23850
9,22074
9,9175
12,9996
12,747
12,24191
13,14882
13,11445
13,11506
13,8870
13,21576
13,15952
16,20581
16,2065
16,4125
16,4564
16,1844
16,3375
16,12373
16,1734
16,21154
16,17955
16,19919
16,19392
16,20232
16,1045
16,8322
16,6718
17,2772
20,6717
20,10153
20,6544
20,3300
23,6574
26,8266
33,182
33,15173
33,9365
33,24077
33,12886
33,11494
33,12913
33,24214
33,14316
33,812
33,24221
35,10723
37,10153
37,3801
37,3300
40,16895
40,19398
40,1124
40,7913
46,8014
46,15256
46,15937
54,9789
60,2050
60,18486
60,3612
60,21305
60,4825
60,9708
60,19684
60,7388
60,3280
64,6890
64,20399
64,11316
64,18175
64,24106
64,18079
65,6443
65,5127
66,4419
66,4005
66,5991
70,23325
72,17869
72,9712
72,18226
72,7102
72,7572
72,1790
72,18812
73,14764
73,5257
73,4815
73,6066
73,17446
77,14810
77,14141
77,944
77,20175
77,22744
81,21741
81,4474
81,4931
81,2943
81,9690
81,2144
81,22511
81,8245
81,10941
81,15239
84,15067
84,22226
88,23068
102,794
102,2027
105,21154
105,19420
105,10654
105,2113
112,17420
112,14222
112,20869
112,1827
112,22693
112,12713
112,245
114,18083
114,18850
114,24080
114,22147
114,2373
114,10932
114,13784
114,21603
114,1169
114,5492
114,17148
114,6583
114,13114
114,2006
114,2499
115,21672
115,18850
115,21301
115,874
115,13308
115,2499
119,5901
120,14651
121,3062
121,20995
123,13489
123,13712
124,15198
130,17762
130,14082
131,23284
131,14867
134,3292
134,17233
134,4931
134,10743
138,4419
138,5819
138,3319
138,16245
138,18556
140,7185
140,13773
141,3292
141,23208
141,22147
141,19815
147,18151
148,20069
149,4419
149,17563
149,11039
149,5819
149,6068
149,17282
154,14385
157,19448
157,6203
157,23789
157,6664
157,20739
157,14209
158,6890
158,19651
158,11386
158,13598
158,7925
158,2666
158,10831
158,269
158,1890
158,20118
158,9429
158,24106
160,7423
164,4109
164,15067
164,11346
166,182
166,13831
166,16140
166,7305
171,18213
171,22716
171,8928
172,12641
179,20869
179,21775
179,8295
183,6277
183,5316
187,12024
188,20764
188,9332
188,11944
190,9392
191,6906
191,9919
191,8795
194,3312
195,22025
198,11288
198,3480
198,21045
206,14402
206,7013
207,3612
207,18586
207,19813
207,7597
207,20647
207,2504
207,20764
207,18165
207,12194
207,13855
207,13004
207,3966
211,13094
211,9614
218,17727
222,15055
227,19611
227,101
230,17320
230,19420
230,11692
230,23590
233,6890
233,3941
237,14196
237,581
238,5819
238,19919
245,5155
245,12476
245,24092
245,11557
246,21993
246,2309
246,9906
246,4355
248,3949
248,7999
248,11672
249,7039
250,17095
250,17121
253,15603
253,16402
265,12123
265,20313
265,7857
266,20627
269,23311
269,11386
269,748
269,11419
269,15522
269,7925
269,10831
269,13539
269,15180
269,786
269,24106
269,18086
275,22212
278,14363
278,12181
278,13534
278,8748
278,3411
278,7955
281,23068
282,2031
282,21928
282,17301
285,5932
285,17108
285,2129
285,8972
285,22813
287,14816
287,20834
287,23794
287,24018
287,20435
293,20605
293,10404
295,18586
295,4931
295,22503
301,23364
303,9298
305,1869
305,6717
305,6914
305,1204
305,17447
305,912
307,13575
307,21828
310,12948
311,22461
311,24084
311,18672
315,13396
315,7330
315,20968
317,1869
317,10822
317,16189
317,13719
321,4419
321,11039
336,1270
336,18502
337,24092
337,17320
338,18405
338,17095
338,19470
338,9382
340,8804
341,21466
341,2503
341,15624
343,20646
345,3723
345,17354
348,8657
351,18850
